timestamp,Open,High,Low,Close,Adj Close,Volume,Pivot,R1,S1,R2,S2,R3,S3
2020-07-31,11110.210938,11415.864258,10987.053711,11323.466797,11323.466797,23160469766.0,11242.128255333335,11068.39225266667,11068.39225266667,11670.938802333334,10813.317708333336,12099.749349333333,10384.507161333337
2020-08-01,11322.570313,11794.775391,11239.682617,11759.592773,11759.592773,26075670303.0,11598.016926999999,11401.258462999998,11401.258462999998,12153.109700999998,11042.924153,12708.202474999996,10487.831379000001
2020-08-02,11758.764648,12034.144531,11018.129883,11053.614258,11053.614258,27410067336.0,11368.629557333334,10703.114583666667,10703.114583666667,12384.644205333334,10352.614909333333,13400.658853333334,9336.600261333333
2020-08-03,11043.768555,11453.079102,11012.415039,11246.348633,11246.348633,20271713443.0,11237.280924666666,11021.482747333332,11021.482747333332,11677.944987666666,10796.616861666665,12118.609050666666,10355.952798666665
2020-08-04,11246.203125,11385.381836,11094.145508,11205.892578,11205.892578,21250197042.0,11228.473307333334,11071.564778666667,11071.564778666667,11519.709635333335,10937.236979333333,11810.945963333335,10646.000651333332
2020-08-05,11203.823242,11786.617188,11158.285156,11747.022461,11747.022461,24411254471.0,11563.974935,11341.332682,11341.332682,12192.306967,10935.642903,12820.638999,10307.310871
2020-08-06,11749.871094,11902.335938,11598.713867,11779.773438,11779.773438,23400740340.0,11760.274414333335,11618.21289066667,11618.21289066667,12063.896485333335,11456.652343333335,12367.518556333334,11153.030272333335
2020-08-07,11778.894531,11898.038086,11408.59375,11601.472656,11601.472656,23132312867.0,11636.034830666666,11374.03157533333,11374.03157533333,12125.479166666666,11146.590494666665,12614.923502666667,10657.146158666665
2020-08-08,11604.553711,11800.064453,11558.431641,11754.045898,11754.045898,17572057837.0,11704.180664,11608.296874999998,11608.296874999998,11945.813476000001,11462.547851999998,12187.446288000003,11220.915039999996
2020-08-09,11737.325195,11806.056641,11548.78418,11675.739258,11675.739258,17489608833.0,11676.860026333334,11547.663411666668,11547.663411666668,11934.132487333332,11419.587565333335,12191.404948333331,11162.315104333336
2020-08-10,11662.256836,12045.140625,11662.256836,11878.111328,11878.111328,26114112569.0,11861.836263,11678.531900999998,11678.531900999998,12244.720051999999,11478.952474,12627.603840999998,11096.068685
2020-08-11,11881.647461,11932.710938,11195.708984,11410.525391,11410.525391,27039782640.0,11512.981771,11093.252604000001,11093.252604000001,12249.983725,10775.979817000001,12986.985679,10038.977863000002
2020-08-12,11404.59668,11748.396484,11249.605469,11584.93457,11584.93457,25064548486.0,11527.645507666666,11306.894531333332,11306.894531333332,12026.436522666667,11028.854492666665,12525.227537666668,10530.063477666665
2020-08-13,11588.405273,11796.396484,11216.87207,11784.137695,11784.137695,27522199497.0,11599.135416333333,11401.874348666664,11401.874348666664,12178.659830333334,11019.611002333331,12758.184244333335,10440.08658833333
2020-08-14,11772.65918,12150.994141,11685.455078,11768.871094,11768.871094,24237958589.0,11868.440104333335,11585.88606766667,11585.88606766667,12333.979167333333,11402.901041333336,12799.518230333331,10937.361978333338
2020-08-15,11768.697266,11963.203125,11768.697266,11865.698242,11865.698242,23354924400.0,11865.866211,11768.529297000001,11768.529297000001,12060.372070000001,11671.360352,12254.877929000002,11476.854492999999
2020-08-16,11866.685547,11934.901367,11737.188477,11892.803711,11892.803711,20583375490.0,11854.964518333334,11775.027669666668,11775.027669666668,12052.677408333335,11657.251628333333,12250.390298333336,11459.538738333333
2020-08-17,11895.658203,12359.056641,11806.696289,12254.402344,12254.402344,28227687027.0,12140.051758,11921.046875,11921.046875,12692.41211,11587.691406,13244.772461999999,11035.331054
2020-08-18,12251.895508,12335.707031,11954.525391,11991.233398,11991.233398,26043227672.0,12093.82194,11851.936849,11851.936849,12475.00358,11712.6403,12856.185220000001,11331.458659999998
2020-08-19,11990.884766,12028.923828,11687.333008,11758.283203,11758.283203,24502851117.0,11824.846679666667,11620.769531333333,11620.769531333333,12166.437499666668,11483.255859666666,12508.02831966667,11141.665039666665
2020-08-20,11761.5,11900.411133,11710.063477,11878.37207,11878.37207,20175242945.0,11829.615559999998,11758.819986999997,11758.819986999997,12019.963215999998,11639.267903999998,12210.310871999998,11448.920247999999
2020-08-21,11878.026367,11899.259766,11564.979492,11592.489258,11592.489258,23762425999.0,11685.576172000001,11471.892578000003,11471.892578000003,12019.856446,11351.295898000002,12354.136719999999,11017.015624000003
2020-08-22,11585.477539,11689.407227,11448.805664,11681.825195,11681.825195,20224191306.0,11606.679362,11523.951497000002,11523.951497000002,11847.280925000001,11366.077799,12087.882488000001,11125.476236
2020-08-23,11679.696289,11713.429688,11559.920898,11664.847656,11664.847656,18482062658.0,11646.066080666666,11578.702473333331,11578.702473333331,11799.574870666665,11492.557290666666,11953.083660666665,11339.048500666666
2020-08-24,11663.689453,11807.631836,11623.25,11774.595703,11774.595703,20681511755.0,11735.159179666667,11662.686523333334,11662.686523333334,11919.541015666668,11550.777343666667,12103.922851666668,11366.395507666666
2020-08-25,11773.588867,11778.299805,11189.850586,11366.134766,11366.134766,26301509932.0,11444.761719000002,11111.223633000003,11111.223633000003,12033.210938000002,10856.312500000002,12621.660157000002,10267.863281000002
